Station_ID,Station_Name,Street_Address,City,State,ZIP_Code,Country,Latitude,Longitude,Charger_Type,Power_kW,Level1_Chargers,Level2_Chargers,DC_Fast_Chargers,Total_Chargers,Operator,Connector_Types,Pricing_Info,Access_Hours,Open_Date,Station_Age_Years,Availability_Pct,Location_Type,Status
100000,ChargePoint - Los Angeles Mall #8736,4116 Tech Drive,Los Angeles,CA,75313,US,34.135602,-118.206833,Level 2,11.0,0,6,0,6,ChargePoint,"J1772, NACS",$0.25/kWh,24/7,2020-12-21,5.5,75.7,Mall,Open
100001,Independent - Los Angeles Hospital #8710,3583 Central Ave,Los Angeles,CA,63989,US,34.042123,-118.251246,Level 2,7.2,1,4,0,5,Independent,"J1772, NACS",Network pricing,24 hours,2017-08-28,8.8,55.2,Hospital,Open
100002,Tesla Supercharger - Los Angeles Workplace #6668,3853 Commerce Dr,Los Angeles,CA,15306,US,34.098003,-118.185684,DC Fast Charger,231.6,0,0,2,2,Tesla Supercharger,CCS1,$0.25-0.50/kWh (Tesla vehicles),Business hours,2019-07-12,7.0,88.1,Workplace,Open
100003,SemaConnect - Los Angeles Gas Station #2230,3427 Highway 1,Los Angeles,CA,74663,US,33.921202,-118.309965,Level 2,22.0,0,6,0,6,SemaConnect,"J1772, CCS1",$0.20/kWh,Business hours,2023-09-06,2.8,42.0,Gas Station,Open
100004,Electrify America - Los Angeles Transit Station #3391,9619 Tech Drive,Los Angeles,CA,18578,US,34.075199,-118.238597,DC Fast Charger,171.7,0,2,2,4,Electrify America,"CCS1, CHAdeMO",Free,Daily: 6am-midnight,2018-02-06,8.4,88.3,Transit Station,Open
100005,Tesla Supercharger - Los Angeles Community Center #6798,3392 Central Ave,Los Angeles,CA,19286,US,34.104878,-118.162498,DC Fast Charger,248.2,0,2,6,8,Tesla Supercharger,"CCS1, CHAdeMO, NACS",$0.25-0.50/kWh (Tesla vehicles),Business hours,2020-05-19,6.1,82.4,Community Center,Open
100006,ChargePoint - Los Angeles Highway Rest Stop #5243,5909 Broadway,Los Angeles,CA,15978,US,33.977168,-118.257592,Level 2,7.2,0,2,0,2,ChargePoint,"J1772, CCS1",$0.25/kWh,Mon-Fri: 6am-10pm,2023-06-30,3.0,88.0,Highway Rest Stop,Open
100007,Osprey - Los Angeles Highway Rest Stop #7997,9667 Broadway,Los Angeles,CA,31636,US,34.1119,-118.200609,DC Fast Charger,50.1,0,0,6,6,Osprey,CCS1,$0.20/kWh,Mon-Fri: 6am-10pm,2018-10-26,7.7,71.4,Highway Rest Stop,Open
100008,ChargePoint - Los Angeles Shopping Center #2014,4703 Main St,Los Angeles,CA,33887,US,34.031348,-118.256177,Level 2,11.0,0,2,0,2,ChargePoint,J1772,$0.25/kWh,24/7,2017-09-09,8.8,82.6,Shopping Center,Open
100009,ChargePoint - Los Angeles Workplace #6557,9706 Central Ave,Los Angeles,CA,68816,US,34.099384,-118.282016,Level 2,11.0,0,6,0,6,ChargePoint,"J1772, CCS1",$0.30/kWh,24/7,2021-09-10,4.8,57.8,Workplace,Open
100010,Blink - Los Angeles Sports Arena #6869,715 Commerce Dr,Los Angeles,CA,89759,US,34.062611,-118.173264,Level 2,11.0,0,2,0,2,Blink,"J1772, CCS1",$0.25/kWh,24 hours daily,2022-03-19,4.3,84.5,Sports Arena,Open
100011,Gridserve - Los Angeles Grocery Store #7062,1206 Park Blvd,Los Angeles,CA,32931,US,33.977745,-118.31749,DC Fast Charger,106.8,0,2,2,4,Gridserve,"CCS1, CHAdeMO, NACS",$0.45/kWh,Business hours,2017-04-14,9.2,81.1,Grocery Store,Open
100012,Electrify America - Los Angeles Gas Station #6975,3059 Shopping Center Blvd,Los Angeles,CA,22487,US,34.101742,-118.287862,DC Fast Charger,127.3,0,0,4,4,Electrify America,"CCS1, NACS",Network pricing,24 hours daily,2017-08-11,8.9,91.1,Gas Station,Open
100013,EVgo - Los Angeles Community Center #1683,9900 Market St,Los Angeles,CA,44858,US,34.033891,-118.320435,DC Fast Charger,103.4,0,0,4,4,EVgo,"CCS2, CHAdeMO",$0.15/kWh,24/7,2021-11-13,4.6,77.6,Community Center,Open
100014,ChargePoint - Los Angeles Supermarket #4529,9790 Highway 1,Los Angeles,CA,68971,US,34.034621,-118.211704,Level 2,22.0,0,6,0,6,ChargePoint,J1772,$0.20/kWh,Business hours,2024-02-25,2.3,86.5,Supermarket,Open
100015,Tesla Supercharger - Los Angeles Workplace #7674,8963 Main St,Los Angeles,CA,43058,US,34.086662,-118.205837,DC Fast Charger,230.9,0,0,4,4,Tesla Supercharger,"CCS1, NACS",$0.25-0.50/kWh (Tesla vehicles),24/7,2021-04-08,5.2,68.1,Workplace,Open
100016,EVgo - Los Angeles University #9953,4707 Industrial Way,Los Angeles,CA,42426,US,33.980673,-118.265144,DC Fast Charger,100.2,0,2,10,12,EVgo,"CCS2, CHAdeMO",$0.20/kWh,Business hours,2024-04-07,2.2,92.3,University,Open
100017,Blink - Los Angeles Grocery Store #6939,5404 Commerce Dr,Los Angeles,CA,19979,US,34.017949,-118.249982,Level 2,22.0,1,6,0,7,Blink,"J1772, NACS",$0.10/kWh,Business hours,2023-06-29,3.0,92.4,Grocery Store,Open
100018,Volta - Los Angeles Hospital #6314,9754 Central Ave,Los Angeles,CA,94539,US,34.109429,-118.22734,Level 2,11.0,0,2,0,2,Volta,J1772,$0.35/kWh,Daily: 6am-midnight,2018-02-05,8.4,57.4,Hospital,Open
100019,Tesla Supercharger - Los Angeles Transit Station #8963,3963 Main St,Los Angeles,CA,88979,US,34.045364,-118.23474,DC Fast Charger,241.2,0,0,2,2,Tesla Supercharger,NACS,$0.25-0.50/kWh (Tesla vehicles),Daily: 6am-midnight,2020-02-16,6.4,72.3,Transit Station,Open
100020,ChargePoint - Los Angeles Shopping Center #1795,7042 Shopping Center Blvd,Los Angeles,CA,65102,US,34.100649,-118.243406,Level 2,7.2,0,8,0,8,ChargePoint,"J1772, NACS",$0.15/kWh,6:00am-10:00pm daily,2017-05-18,9.1,71.3,Shopping Center,Open
