Vehicle_ID,Vehicle_Type,Route_ID,Date,Start_Location,End_Location,Distance_km,Average_Speed_kmh,Travel_Time_hrs,Number_of_Stops,Road_Type,Traffic_Level,Payload_kg,Idle_Time_min,Driving_Efficiency_Score,Estimated_Fuel_L
VH-0056,Van,RT-YOR-LEE-328,2023-04-12,York,Leeds,30.8,58.3,0.53,0,Mixed,Low,1760.0,16.5,0.7061,1.26
VH-0013,Van,RT-COL-CIN-509,2024-11-09,Columbus,Cincinnati,145.7,84.6,1.72,3,Highway,Low,1700.0,97.3,0.3984,5.78
VH-0348,Van,RT-KAN-ST -139,2023-06-28,Kansas City,St Louis,505.5,78.2,6.46,5,Highway,Low,2450.0,126.1,0.2679,28.9
VH-0056,Van,RT-LOS-LAS-690,2024-02-28,Los Angeles,Las Vegas,440.3,86.4,5.1,5,Highway,Moderate,2280.0,86.8,0.4309,23.42
VH-0098,Flatbed,RT-BRI-BAT-472,2023-02-08,Bristol,Bath,19.1,45.5,0.42,1,Urban,Moderate,19680.0,42.0,0.5615,8.77
VH-0221,Van,RT-LON-BRI-416,2024-11-04,London,Bristol,163.5,73.0,2.24,4,Rural,Moderate,3250.0,85.2,0.404,12.4
VH-0342,Refrigerated Truck,RT-LOS-SAN-793,2024-02-16,Los Angeles,San Francisco,647.9,61.1,10.6,7,Highway,Moderate,17310.0,131.8,0.2083,261.69
VH-0384,Tanker,RT-LEI-NOT-904,2024-05-30,Leicester,Nottingham,24.4,63.9,0.38,5,Highway,Low,19300.0,91.6,0.3434,10.99
VH-0297,Medium Truck,RT-LOS-LAS-774,2022-12-14,Los Angeles,Las Vegas,373.4,67.4,5.54,5,Highway,Moderate,9260.0,87.9,0.3693,80.68
VH-0044,Refrigerated Truck,RT-SOU-POR-330,2023-09-28,Southampton,Portsmouth,34.9,37.2,0.94,0,Urban,Moderate,18520.0,25.5,0.6137,15.08
VH-0413,Heavy Truck,RT-LON-CAM-524,2024-07-21,London,Cambridge,112.3,67.1,1.67,0,Highway,Low,22300.0,20.3,0.7167,58.43
VH-0454,Tanker,RT-MIN-MIL-868,2022-01-12,Minneapolis,Milwaukee,580.2,69.0,8.41,7,Highway,Moderate,17210.0,116.7,0.2457,232.99
VH-0441,Tanker,RT-LIV-MAN-968,2023-05-26,Liverpool,Manchester,50.3,41.5,1.21,0,Urban,Low,15750.0,17.9,0.6499,18.49
VH-0063,Van,RT-ATL-CHA-727,2024-06-25,Atlanta,Charlotte,459.6,78.6,5.85,9,Highway,Moderate,1790.0,172.2,0.2558,19.2
VH-0418,Heavy Truck,RT-MIA-ORL-365,2024-07-10,Miami,Orlando,372.7,72.6,5.13,6,Highway,High,23780.0,139.9,0.2464,206.8
VH-0385,Refrigerated Truck,RT-BIR-WOL-830,2022-06-08,Birmingham,Wolverhampton,18.3,58.1,0.31,0,Rural,High,11840.0,20.7,0.688,5.06
VH-0147,Medium Truck,RT-BIR-WOL-823,2022-11-09,Birmingham,Wolverhampton,18.9,53.2,0.36,1,Urban,Low,7080.0,25.6,0.6529,3.12
VH-0110,Refrigerated Truck,RT-LON-BRI-888,2024-03-08,London,Bristol,210.1,70.2,2.99,4,Highway,Low,19660.0,70.2,0.4581,96.38
VH-0300,Medium Truck,RT-RIC-BAL-871,2023-09-04,Richmond,Baltimore,169.9,84.6,2.01,1,Highway,High,13480.0,41.8,0.6796,53.44
VH-0200,Medium Truck,RT-LOS-SAN-546,2023-07-13,Los Angeles,San Francisco,616.0,72.8,8.46,7,Highway,Moderate,9390.0,178.6,0.2434,134.97
VH-0249,Heavy Truck,RT-BIR-MAN-737,2022-09-19,Birmingham,Manchester,94.9,71.9,1.32,0,Highway,Moderate,23450.0,23.1,0.7194,51.93
VH-0274,Flatbed,RT-BIR-MAN-488,2023-06-17,Birmingham,Manchester,92.6,61.6,1.5,0,Highway,Low,11090.0,26.7,0.6736,23.96
VH-0168,Heavy Truck,RT-SHE-HUL-358,2024-05-13,Sheffield,Hull,80.6,53.8,1.5,0,Mixed,Low,25220.0,12.0,0.7114,47.43
VH-0428,Van,RT-BRI-CAR-899,2022-05-21,Bristol,Cardiff,56.1,82.0,0.68,0,Highway,Moderate,1560.0,28.8,0.726,2.04
VH-0491,Medium Truck,RT-NAS-MEM-229,2023-05-04,Nashville,Memphis,310.0,77.5,4.0,5,Highway,Low,10590.0,87.0,0.4033,76.6
VH-0243,Van,RT-COL-CIN-896,2022-08-23,Columbus,Cincinnati,174.7,81.9,2.13,2,Highway,Congested,1920.0,71.8,0.5132,7.83
VH-0420,Refrigerated Truck,RT-COV-LEI-506,2024-02-08,Coventry,Leicester,35.2,61.3,0.57,0,Highway,Moderate,20710.0,19.4,0.7031,17.01
VH-0483,Van,RT-LON-CAM-915,2022-09-05,London,Cambridge,100.7,77.4,1.3,1,Highway,Moderate,2930.0,26.2,0.723,6.88
VH-0290,Medium Truck,RT-MAN-LEE-942,2024-05-10,Manchester,Leeds,68.2,79.9,0.85,0,Highway,Moderate,8070.0,17.6,0.7664,12.84
VH-0251,Heavy Truck,RT-LIV-MAN-851,2022-12-27,Liverpool,Manchester,56.0,41.1,1.36,1,Urban,Moderate,12450.0,39.7,0.5579,16.27
VH-0268,Flatbed,RT-NAS-MEM-430,2023-07-04,Nashville,Memphis,309.3,68.2,4.54,7,Highway,High,15400.0,185.1,0.2296,111.14
VH-0437,Flatbed,RT-BIR-WOL-444,2024-02-16,Birmingham,Wolverhampton,18.4,71.6,0.26,3,Highway,Low,17690.0,70.8,0.4698,7.59
VH-0015,Van,RT-PHO-TUC-669,2023-07-20,Phoenix,Tucson,176.6,56.1,3.15,3,Urban,Moderate,1700.0,53.6,0.495,7.01
VH-0006,Medium Truck,RT-SEA-POR-761,2024-09-02,Seattle,Portland,254.3,77.2,3.29,2,Highway,Low,7160.0,48.7,0.5953,42.49
VH-0365,Heavy Truck,RT-PHO-TUC-584,2024-01-26,Phoenix,Tucson,162.9,73.3,2.22,2,Highway,Low,13890.0,41.1,0.6153,52.8
VH-0284,Heavy Truck,RT-SEA-POR-357,2023-09-20,Seattle,Portland,301.0,63.2,4.76,5,Highway,Congested,17260.0,178.7,0.2229,121.22
VH-0119,Tanker,RT-GLA-EDI-856,2023-03-20,Glasgow,Edinburgh,74.5,55.8,1.34,0,Rural,Low,17780.0,24.1,0.667,30.91
VH-0248,Tanker,RT-LON-LUT-114,2023-09-12,London,Luton,46.2,52.9,0.87,2,Rural,Congested,20410.0,96.6,0.3229,22.0
VH-0363,Van,RT-KAN-ST -205,2024-10-02,Kansas City,St Louis,460.4,82.1,5.61,5,Highway,Low,3360.0,56.9,0.5426,36.1
VH-0447,Medium Truck,RT-LON-BIR-216,2024-09-05,London,Birmingham,170.1,85.9,1.98,4,Highway,Moderate,5460.0,71.6,0.4994,21.67
VH-0421,Heavy Truck,RT-LON-BRI-187,2023-09-15,London,Bristol,160.7,71.1,2.26,4,Highway,Low,12390.0,81.1,0.4154,46.46
VH-0128,Tanker,RT-GLA-EDI-561,2024-02-19,Glasgow,Edinburgh,80.7,69.8,1.16,0,Highway,Moderate,26640.0,20.5,0.724,50.16
VH-0466,Van,RT-DAL-HOU-881,2022-07-23,Dallas,Houston,347.7,87.8,3.96,5,Highway,Moderate,1150.0,95.7,0.398,9.33
VH-0107,Heavy Truck,RT-MIN-MIL-518,2022-01-06,Minneapolis,Milwaukee,532.9,72.7,7.33,16,Highway,Moderate,11200.0,180.1,0.2363,139.26
VH-0231,Flatbed,RT-RIC-BAL-172,2024-07-18,Richmond,Baltimore,176.0,68.3,2.58,1,Highway,Low,19950.0,34.6,0.6607,81.93
VH-0352,Heavy Truck,RT-MAN-LIV-173,2022-10-19,Manchester,Liverpool,55.4,45.7,1.21,1,Urban,Moderate,24530.0,38.4,0.5771,31.71
VH-0031,Flatbed,RT-COV-LEI-612,2023-07-12,Coventry,Leicester,32.9,62.0,0.53,0,Rural,Moderate,14840.0,12.6,0.7335,11.39
VH-0277,Flatbed,RT-PHO-TUC-193,2022-02-22,Phoenix,Tucson,186.2,82.1,2.27,3,Highway,Moderate,18260.0,92.7,0.41,79.33
VH-0118,Medium Truck,RT-LOU-LEX-581,2022-12-25,Louisville,Lexington,84.0,92.9,0.9,3,Highway,Congested,5360.0,122.5,0.3287,10.51
VH-0266,Flatbed,RT-NAS-MEM-581,2022-07-06,Nashville,Memphis,328.6,87.6,3.75,3,Highway,Low,21840.0,90.7,0.4349,167.45
VH-0179,Van,RT-LOS-SAN-778,2023-08-14,Los Angeles,San Francisco,526.6,75.7,6.96,6,Highway,Moderate,2730.0,148.7,0.2557,33.54
VH-0484,Tanker,RT-CHI-DET-985,2024-04-07,Chicago,Detroit,518.2,75.8,6.84,7,Highway,Moderate,29550.0,106.5,0.3087,357.3
