Manufacturer,Vehicle_Model,Vehicle_Class,Engine_Size_L,Engine_Cylinders,Transmission_Type,Fuel_Type_Code,Fuel_Type,Fuel_Consumption_City_L100km,Fuel_Consumption_Hwy_L100km,Fuel_Consumption_Combined_L100km,CO2_Emissions_g_per_km,Estimated_Annual_CO2_kg,Fuel_Cost_Per_100km_CAD,Estimated_Annual_Fuel_Cost_CAD,EV_CO2_Saving_g_per_km,EV_Annual_CO2_Saving_kg,Is_Diesel,Emission_Category
Acura,ILX,Compact,2.0,4,AS5,Z,Premium Gasoline,9.9,6.7,8.5,196,3920.0,12.32,2464.0,166,3320.0,0,Medium
Acura,ILX,Compact,2.4,4,M6,Z,Premium Gasoline,11.2,7.7,9.6,221,4420.0,13.92,2784.0,191,3820.0,0,Medium
Acura,ILX HYBRID,Compact,1.5,4,AV7,Z,Premium Gasoline,6.0,5.8,5.9,136,2720.0,8.56,1712.0,106,2120.0,0,Low
Acura,MDX 4WD,Suv - Small,3.5,6,AS6,Z,Premium Gasoline,12.7,9.1,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Acura,RDX AWD,Suv - Small,3.5,6,AS6,Z,Premium Gasoline,12.1,8.7,10.6,244,4880.0,15.37,3074.0,214,4280.0,0,Medium
Acura,RLX,Mid-Size,3.5,6,AS6,Z,Premium Gasoline,11.9,7.7,10.0,230,4600.0,14.5,2900.0,200,4000.0,0,Medium
Acura,TL,Mid-Size,3.5,6,AS6,Z,Premium Gasoline,11.8,8.1,10.1,232,4640.0,14.64,2928.0,202,4040.0,0,Medium
Acura,TL AWD,Mid-Size,3.7,6,AS6,Z,Premium Gasoline,12.8,9.0,11.1,255,5100.0,16.1,3220.0,225,4500.0,0,High
Acura,TL AWD,Mid-Size,3.7,6,M6,Z,Premium Gasoline,13.4,9.5,11.6,267,5340.0,16.82,3364.0,237,4740.0,0,High
Acura,TSX,Compact,2.4,4,AS5,Z,Premium Gasoline,10.6,7.5,9.2,212,4240.0,13.34,2668.0,182,3640.0,0,Medium
Acura,TSX,Compact,2.4,4,M6,Z,Premium Gasoline,11.2,8.1,9.8,225,4500.0,14.21,2842.0,195,3900.0,0,Medium
Acura,TSX,Compact,3.5,6,AS5,Z,Premium Gasoline,12.1,8.3,10.4,239,4780.0,15.08,3016.0,209,4180.0,0,Medium
Alfa Romeo,4C,Two-Seater,1.8,4,AM6,Z,Premium Gasoline,9.7,6.9,8.4,193,3860.0,12.18,2436.0,163,3260.0,0,Medium
Aston Martin,DB9,Minicompact,5.9,12,A6,Z,Premium Gasoline,18.0,12.6,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Aston Martin,RAPIDE,Subcompact,5.9,12,A6,Z,Premium Gasoline,18.0,12.6,15.6,359,7180.0,22.62,4524.0,329,6580.0,0,Very High
Aston Martin,V8 VANTAGE,Two-Seater,4.7,8,AM7,Z,Premium Gasoline,17.4,11.3,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
Aston Martin,V8 VANTAGE,Two-Seater,4.7,8,M6,Z,Premium Gasoline,18.1,12.2,15.4,354,7080.0,22.33,4466.0,324,6480.0,0,Very High
Aston Martin,V8 VANTAGE S,Two-Seater,4.7,8,AM7,Z,Premium Gasoline,17.4,11.3,14.7,338,6760.0,21.32,4264.0,308,6160.0,0,High
