Date,Year,Month,Season,City,State,Country,Latitude,Longitude,Temperature_C,Temp_Max_C,Temp_Min_C,Feels_Like_C,Humidity_Pct,Humidity_Max_Pct,Humidity_Min_Pct,Precipitation_mm,Rainfall_mm,Wind_Speed_kmh,Wind_Direction_Deg,Weather_Code,Weather_Condition,Battery_Impact_Score
2020-01-01,2020,1,Winter,New York,NY,US,40.71,-74.01,2.3,4.5,-0.5,-3.2,60.0,79,41,0.0,0.0,28.2,271,3,Overcast,0.0
2020-01-02,2020,1,Winter,New York,NY,US,40.71,-74.01,2.5,9.0,-2.2,-1.7,64.0,82,46,0.0,0.0,17.3,228,3,Overcast,0.0
2020-01-03,2020,1,Winter,New York,NY,US,40.71,-74.01,6.6,9.4,2.3,4.1,83.5,98,69,4.0,4.0,12.4,235,53,Moderate Drizzle,0.0
2020-01-04,2020,1,Winter,New York,NY,US,40.71,-74.01,7.8,10.2,5.7,5.8,94.5,100,89,6.2,6.2,24.9,298,53,Moderate Drizzle,0.0
2020-01-05,2020,1,Winter,New York,NY,US,40.71,-74.01,2.8,5.3,-1.4,-3.5,66.5,92,41,0.9,0.9,37.1,308,53,Moderate Drizzle,0.0
2020-01-06,2020,1,Winter,New York,NY,US,40.71,-74.01,2.9,7.8,-0.4,-2.0,64.0,83,45,1.3,0.0,25.9,248,73,Moderate Snow,0.0
2020-01-07,2020,1,Winter,New York,NY,US,40.71,-74.01,2.6,6.1,-0.6,-1.5,71.0,96,46,0.8,0.6,18.9,255,71,Light Snow,0.0
2020-01-08,2020,1,Winter,New York,NY,US,40.71,-74.01,1.0,5.1,-1.6,-4.8,62.0,93,31,0.1,0.0,33.1,277,71,Light Snow,0.0
2020-01-09,2020,1,Winter,New York,NY,US,40.71,-74.01,-2.1,0.6,-4.9,-7.2,50.5,63,38,0.0,0.0,23.2,295,3,Overcast,0.028
2020-01-10,2020,1,Winter,New York,NY,US,40.71,-74.01,5.0,11.2,-1.1,0.8,79.5,91,68,0.0,0.0,24.8,222,3,Overcast,0.0
2020-01-11,2020,1,Winter,New York,NY,US,40.71,-74.01,13.9,18.4,7.9,10.6,78.0,93,63,0.2,0.2,34.2,204,51,Light Drizzle,0.0
2020-01-12,2020,1,Winter,New York,NY,US,40.71,-74.01,14.8,18.9,6.8,10.8,70.0,93,47,2.7,2.7,45.6,233,61,Light Rain,0.0
2020-01-13,2020,1,Winter,New York,NY,US,40.71,-74.01,4.9,9.0,1.3,1.8,81.5,98,65,0.2,0.2,18.4,34,51,Light Drizzle,0.0
2020-01-14,2020,1,Winter,New York,NY,US,40.71,-74.01,4.2,6.8,1.1,1.4,88.0,100,76,0.3,0.3,15.3,84,51,Light Drizzle,0.0
2020-01-15,2020,1,Winter,New York,NY,US,40.71,-74.01,5.8,9.5,3.0,2.6,75.0,99,51,0.1,0.1,16.1,286,51,Light Drizzle,0.0
2020-01-16,2020,1,Winter,New York,NY,US,40.71,-74.01,5.7,8.7,1.4,0.3,70.5,96,45,1.8,1.8,38.8,290,53,Moderate Drizzle,0.0
